taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
Haliotis,mollusk,animal,animalia,Mollusca,Gastropoda,Archaeogastropoda,,Haliotidae,Haliotoidea,,Haliotis,,,,,,,,,Haliotis,,,,,fresh,mixed species,abalone,meat,,,,,"Mollusks, abalone, mixed species, raw","ABALONE,MIXED SPECIES,RAW",17.1,0.76,6.01,1.57,105,,,,,,,0,74.56,0,0,439,0,,0,31,3.19,48,190,250,301,0.82,0.196,,0.04,44.8,7,2,2,0,0,4,0,,0,0,0,0,,,,,,,,2,0.19,0.1,1.5,3,0.15,5,0.73,65,,,23,0,5,5,,0.192,0.736,0.744,1.204,1.278,0.386,0.224,0.613,0.547,0.747,1.248,0.328,1.034,1.65,2.326,1.07,0.698,0.766,,85,,0.149,0,0,0,0,0,0.023,0.103,0.021,,0.087,0.007,0,0,0,,,0.02,0.006,0,0.049,0,0.041,,,,,0.107,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crateva religiosa,"fruit, legume",plant,plantae,Magnoliophyta,Magnoliopsida,Capparales,,Capparaceae,,,Crateva,c. religiosa,,,,,,,Crateva religiosa,,,,,,fresh,,abiyuch,fruit,,,,,"Abiyuch, raw","ABIYUCH,RAW",1.5,0.1,17.6,0.9,69,,0.05,4.5,3.8,0,0.2,,79.9,,,290,8.55,0,5.3,8,1.61,24,47,304,20,0.31,0.057,,0.182,,100,0,5,60,0,,,,,,,,,,,,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malpighia emarginata,fruit,plant,plantae,Magnoliophyta,Magnoliopsida,Malpighiales,,Malpighiaceae,,,Malpighia,m. emarginata,,,,,,,Malpighia emarginata,,,,,,fresh,,acerola,fruit,,,,,"Acerola, (west indian cherry), raw","ACEROLA,(WEST INDIAN CHERRY),RAW",0.4,0.3,7.69,0.2,32,,,,,,,0,91.41,,,134,,,1.1,12,0.2,18,11,146,7,0.1,0.086,,,0.6,767,0,38,,,,,,,,,,,,,,,,,1677.6,0.02,0.06,0.4,0.309,0.009,14,0,,,,,0,14,14,,,,,,,,,,,,,,,,,,,,,0,0,0.068,0,0,0,0,0,0.002,0.048,0.016,,0.081,0.046,0.044,0,0,,,0.001,0,0,0,0,0,,,,,0.082,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus,nuts and seeds,plant,plantae,Magnoliophyta,Magnoliopsida,fagales,,fagaceae,,,quercus,,,,,,,,,,,,,,dried,,acorn,seed,,,flour,,"Nuts, acorn flour, full fat","ACORN FLOUR,FULL FAT",7.49,30.17,54.65,1.69,501,,,,,,,,6,,,2096,,,,43,1.21,110,103,712,0,0.64,0.611,,1.743,,51,0,3,,,,,,,,,,,,,,,,,0,0.146,0.154,2.382,0.931,0.688,114,0,,,,,0,114,114,,0.09,0.288,0.348,0.596,0.468,0.126,0.133,0.328,0.227,0.421,0.577,0.208,0.427,0.774,1.202,0.348,0.3,0.318,,0,,3.923,,,,,,,3.605,0.319,,19.11,5.813,,,,,,,,,,,,,,,,19.11,5.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus,nuts and seeds,plant,plantae,Magnoliophyta,Magnoliopsida,fagales,,fagaceae,,,quercus,,,,,,,,,,,,,,dried,,acorn,seed,,,,,"Nuts, acorns, dried","ACORNS,DRIED",8.1,31.41,53.66,1.78,509,,,,,,,,5.06,,,2130,,,,54,1.04,82,103,709,0,0.67,0.818,,1.363,,0,0,0,,,,,,,,,,,,,,,,,0,0.149,0.154,2.406,0.94,0.695,115,0,,,,,0,115,115,,0.098,0.312,0.376,0.644,0.505,0.136,0.144,0.354,0.246,0.455,0.623,0.224,0.461,0.837,1.299,0.376,0.324,0.344,,0,,4.084,,,,,,,3.753,0.332,,19.896,6.052,,,,,,,,,,,,,,,,19.896,6.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus,nuts and seeds,plant,plantae,Magnoliophyta,Magnoliopsida,fagales,,fagaceae,,,quercus,,,,,,,,,,,,,,fresh,,acorn,seed,,,,,"Nuts, acorns, raw","ACORNS,RAW",6.15,23.86,40.75,1.35,387,,,,,,,,27.9,,,1619,,,,41,0.79,62,79,539,0,0.51,0.621,,1.337,,39,0,2,,,,,,,,,,,,,,,,,0,0.112,0.118,1.827,0.715,0.528,87,0,,,,,0,87,87,,0.074,0.236,0.285,0.489,0.384,0.103,0.109,0.269,0.187,0.345,0.473,0.17,0.35,0.635,0.986,0.285,0.246,0.261,,0,,3.102,,,,,,,2.85,0.252,,15.109,4.596,,,,,,,,,,,,,,,,15.109,4.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigna angularis,nuts and seeds,plant,plantae,,,,,,,,,,,,,,,,,,,,,,fresh,mature,adzuki bean,seed,,,,,"Beans, adzuki, mature seeds, raw","BEANS,ADZUKI,MATURE SEEDS,RAW",19.87,0.53,62.9,3.26,329,,,,,,,,13.44,,,1377,,,12.7,66,4.98,127,381,1254,5,5.04,1.094,,1.73,3.1,17,0,1,,,,0,,,,,,,,,,,,,0,0.455,0.22,2.63,1.471,0.351,622,0,,,,,0,622,622,,0.191,0.674,0.791,1.668,1.497,0.21,0.184,1.052,0.591,1.023,1.284,0.524,1.16,2.355,3.099,0.756,0.874,0.976,,0,0,0.191,,,,,,,,,,0.05,0.113,,,,,,,,,,,,76,,,,0.05,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave,,plant,plantae,Liliopsida,Asparagales,,Agavaceae,Agavoideae,,Agave,,,,,,,,,,,,,,,processed,,agave,leaf,,,syrup,,"Sweetener, syrup, agave","Sweetener, syrup, agave",0.09,0.45,76.37,0.14,310,,0,12.43,55.6,0,0,0,22.94,0,0,1297,68.03,0,0.2,1,0.09,1,1,4,4,0.01,0.009,,0.005,1.7,156,0,8,94,0,0.98,0,,,0,0,0,,,,,,,,17,0.122,0.165,0.689,,0.234,30,0,13.3,,,22.5,0,30,30,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave,,plant,plantae,Liliopsida,Asparagales,,Agavaceae,Agavoideae,,Agave,,,,,,,,,,,,,,,fresh,southwest,agave,leaf,,,,,"Agave, raw (Southwest)","AGAVE,RAW (SOUTHWEST)",0.52,0.15,16.23,1.27,68,0.24,0.41,1.19,0.98,0,0,0,81.83,0,0,286,2.58,0,6.6,417,1.8,55,7,127,14,0.15,0.138,,0.094,0.4,37,0,2,22,0,0.23,0,,,0,0,,0,0,0,0,0,0,0,4,0.029,0.039,0.162,0.041,0.055,7,0,,,0,5.3,0,7,7,,0.008,0.014,0.014,0.025,0.028,0.009,0.008,0.019,0.009,0.022,0.106,0.008,0.024,0.041,0.052,0.019,0.013,0.021,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave,,plant,plantae,Liliopsida,Asparagales,,Agavaceae,Agavoideae,,Agave,,,,,,,,,,,,,,,dried,sprouted southwest,agave,leaf,,,,,"Agave, dried (Southwest)","AGAVE,DRIED (SOUTHWEST)",1.71,0.69,81.98,3.98,341,0.91,4.39,3.48,42.83,0,0,0,11.64,0,0,1427,50.7,0,15.6,770,3.64,207,37,767,14,12.1,0.189,,0.337,0.6,18,0,1,11,0,0.76,0,,,0,0,,0,0.03,0,0,0,0,0,0.3,0.021,0.644,0.87,0.15,0.216,7,0,,,0,0.5,0,7,7,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
