taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
,,plant,plantae,,,,,,,,,,,,,,,,,,,,,canada,,,vinegar,,,,,spices and herbs,"Vinegar, cider","VINEGAR, CIDER",0.0,0.0,0.93,0.17,22.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,93.81,0.0,0.0,90.0,0.4,0.0,0.0,7.0,0.2,5.0,8.0,73.0,5.0,0.04,0.008,,0.249,0.1,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
,,plant,plantae,,,,,,,,,,,,,,,,,,,,,canada,,,vinegar,,,,,spices and herbs,"Vinegar, distilled (white)","VINEGAR, DISTILLED (WHITE)",0.0,0.0,0.04,0.02,18.0,0.0,,,,,,0.0,94.78,0.0,0.0,76.0,0.04,,0.0,6.0,0.03,1.0,4.0,2.0,2.0,0.01,0.006,,,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,butter,,,,,dairy and egg products,"Butter, whipped","BUTTER, WHIPPED",0.85,81.11,0.06,2.11,717.0,,,,,,,0.0,15.87,0.0,0.0,2999.0,0.06,,0.0,24.0,0.16,2.0,23.0,26.0,659.0,0.05,0.016,,0.004,1.0,,671.0,684.0,158.0,0.0,2.32,60.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.005,0.034,0.042,0.11,0.003,3.0,0.13,18.8,,,7.0,0.0,3.0,3.0,0.3,0.012,0.038,0.051,0.083,0.067,0.021,0.008,0.041,0.041,0.057,0.031,0.023,0.029,0.064,0.178,0.018,0.082,0.046,,219.0,,50.489,2.63,1.557,0.906,2.034,2.277,8.157,21.334,9.829,,20.405,1.832,1.18,0.0,0.0,,,1.816,0.0,0.0,0.0,0.0,0.0,,,,,23.426,3.012,,,,,,,,,,,,,,,1.453,,0.0,,0.0,,,,,1.18,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,butter oil,,,,,dairy and egg products,"Butter oil, anhydrous","BUTTER OIL, ANHYDROUS",0.28,99.48,0.0,0.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,3664.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,2.0,0.01,0.001,,0.0,0.0,,824.0,840.0,193.0,0.0,2.8,73.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.001,0.005,0.003,0.01,0.001,0.0,0.01,22.3,,,8.6,0.0,0.0,0.0,,0.004,0.013,0.017,0.027,0.022,0.007,0.003,0.014,0.014,0.019,0.01,0.008,0.01,0.021,0.059,0.006,0.027,0.015,,256.0,,61.924,3.226,1.91,1.112,2.495,2.793,10.005,26.166,12.056,,25.026,2.247,1.447,0.0,0.0,,,2.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.732,3.694,,,,,,,,,,,,,,,1.779,,0.0,,0.0,,,,,1.44,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, blue","CHEESE, BLUE",21.4,28.74,2.34,5.11,353.0,,,,,,,0.0,42.41,0.0,0.0,1477.0,0.5,,0.0,528.0,0.31,23.0,387.0,256.0,1146.0,2.66,0.04,,0.009,14.5,,192.0,198.0,74.0,0.0,0.25,21.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.029,0.382,1.016,1.729,0.166,36.0,1.22,15.4,,,2.4,0.0,36.0,36.0,,0.312,0.785,1.124,1.919,1.852,0.584,0.107,1.087,1.295,1.556,0.711,0.758,0.644,1.436,5.179,0.406,2.1,1.12,,75.0,,18.669,0.658,0.361,0.247,0.601,0.491,3.301,9.153,3.235,,6.622,0.536,0.264,0.0,0.0,,,0.816,0.0,0.0,0.0,0.0,0.0,,,,,7.778,0.8,,,,,,,,,,,,,,,0.421,,0.0,,0.0,,,,,0.24,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, brick","CHEESE, BRICK",23.24,29.68,2.79,3.18,371.0,,,,,,,0.0,41.11,0.0,0.0,1552.0,0.51,,0.0,674.0,0.43,24.0,451.0,136.0,560.0,2.6,0.024,,0.012,14.5,,286.0,292.0,76.0,0.0,0.26,22.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.014,0.351,0.118,0.288,0.065,20.0,1.26,15.4,,,2.5,0.0,20.0,20.0,,0.324,0.882,1.137,2.244,2.124,0.565,0.131,1.231,1.115,1.472,0.874,0.823,0.67,1.588,5.515,0.437,2.575,1.289,,94.0,,18.764,0.914,0.373,0.299,0.585,0.482,3.227,8.655,3.455,,7.401,0.491,0.293,0.0,0.0,,,0.817,0.0,0.0,0.0,0.0,0.0,,,,,8.598,0.784,,,,,,,,,,,,,,,0.389,,0.0,,0.0,,,,,0.29,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, brie","CHEESE, BRIE",20.75,27.68,0.45,2.7,334.0,,,,,,,0.0,48.42,0.0,0.0,1396.0,0.45,,0.0,184.0,0.5,20.0,188.0,152.0,629.0,2.38,0.019,,0.034,14.5,,173.0,174.0,9.0,0.0,0.24,20.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.07,0.52,0.38,0.69,0.235,65.0,1.65,15.4,,,2.3,0.0,65.0,65.0,,0.322,0.751,1.015,1.929,1.851,0.592,0.114,1.158,1.2,1.34,0.735,0.716,0.859,1.35,4.387,0.397,2.459,1.168,,100.0,,17.41,0.564,0.323,0.297,0.673,0.504,3.065,8.246,2.88,,6.563,0.513,0.313,0.0,0.0,,,1.007,0.0,0.0,0.0,0.0,0.0,,,,,8.013,0.826,,,,,,,,,,,,,,,0.405,,0.0,,0.0,,,,,0.31,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, camembert","CHEESE, CAMEMBERT",19.8,24.26,0.46,3.68,300.0,,,,,,,0.0,51.8,0.0,0.0,1253.0,0.46,,0.0,388.0,0.33,20.0,347.0,187.0,842.0,2.38,0.021,,0.038,14.5,,240.0,241.0,12.0,0.0,0.21,18.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.028,0.488,0.63,1.364,0.227,62.0,1.3,15.4,,,2.0,0.0,62.0,62.0,,0.307,0.717,0.968,1.84,1.766,0.565,0.109,1.105,1.145,1.279,0.701,0.683,0.819,1.288,4.187,0.379,2.346,1.114,,72.0,,15.259,0.494,0.283,0.26,0.59,0.442,2.686,7.227,2.524,,5.752,0.45,0.274,0.0,0.0,,,0.883,0.0,0.0,0.0,0.0,0.0,,,,,7.023,0.724,,,,,,,,,,,,,,,0.357,,0.0,,0.0,,,,,0.27,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, caraway","CHEESE, CARAWAY",25.18,29.2,3.06,3.28,376.0,,,,,,,,39.28,0.0,0.0,1573.0,,,0.0,673.0,0.64,22.0,490.0,93.0,690.0,2.94,0.024,,0.021,14.5,,262.0,271.0,108.0,,,12.0,,,,,,,,,,,,,0.0,0.031,0.45,0.18,0.19,0.074,18.0,0.27,,,,,0.0,18.0,18.0,,0.324,0.896,1.563,2.412,2.095,0.659,0.126,1.326,1.216,1.682,0.952,0.884,0.711,1.618,6.16,0.439,2.838,1.472,,93.0,,18.584,0.922,0.466,0.246,0.529,0.477,2.934,8.638,3.531,,6.965,0.508,0.322,0.0,0.0,,,0.885,0.0,0.0,0.0,0.0,0.0,,,,,8.275,0.83,,,,,,,,,,,,,,,0.397,,0.0,,0.0,,,,,0.32,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, cheshire","CHEESE, CHESHIRE",23.37,30.6,4.78,3.6,387.0,,,,,,,,37.65,0.0,0.0,1620.0,,,0.0,643.0,0.21,21.0,464.0,95.0,700.0,2.79,0.042,,0.012,14.5,,220.0,233.0,156.0,,0.27,12.0,,,,,,,,,,,,,0.0,0.046,0.293,0.08,0.413,0.074,18.0,0.83,,,,,0.0,18.0,18.0,,0.3,0.832,1.451,2.238,1.945,0.612,0.117,1.231,1.128,1.56,0.883,0.821,0.659,1.502,5.718,0.403,2.634,1.366,,103.0,,19.475,0.966,0.488,0.258,0.554,0.5,3.075,9.052,3.7,,7.299,0.533,0.337,0.0,0.0,,,0.927,0.0,0.0,0.0,0.0,0.0,,,,,8.671,0.87,,,,,,,,,,,,,,,0.421,,0.0,,0.0,,,,,0.33,0.0,0.0,0.0,,,,
