taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
Zea mays,,plant,plantae,,,,,,,,Zea,mays,,,,,Gnonli,,Zea mays,,,,,benin,,,maize,,,,,"cereals, maïs, gnonli, seche, cru, gnonli, 1993","Maize, Gnonli, dried, raw [Maïs, Gnonli, seche, cru] cv. Gnonli","MAIZE, GNONLI, DRIED, RAW",7.55,,,1.18,,66.71,,,,,,,13.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea mays,,plant,plantae,,,,,,,,Zea,mays,,,,,Gougba,,Zea mays,,,,,benin,,,maize,,,,,"cereals, maïs, gougba, seche, cru, gougba, 1993","Maize, Gougba, dried, raw [Maïs, Gougba, seche, cru] cv. Gougba","MAIZE, GOUGBA, DRIED, RAW",8.74,,,1.03,,65.29,,,,,,,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea mays,,plant,plantae,,,,,,,,Zea,mays,,,,,Gbaévè,,Zea mays,,,,,benin,,,maize,,,,,"cereals, maïs, gbaévè, seche, cru, gbaévè, 1993","Maize, Gbaévè, dried, raw [Maïs, Gbaévè, seche, cru] cv. Gbaévè","MAIZE, GBAÉVÈ, DRIED, RAW",8.1,,,1.18,,60.86,,,,,,,13.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea mays,,plant,plantae,,,,,,,,Zea,mays,,,,,DMR-ESR-W,,Zea mays,,,,,benin,,,maize,,,,,"cereals, maïs, dmr-esr-w, seche, cru, dmr-esr-w, 1993","Maize, DMR-ESR-W, dried, raw [Maïs, DMR-ESR-W, seche, cru] cv. DMR-ESR-W","MAIZE, DMR-ESR-W, DRIED, RAW",8.75,,,1.07,,63.54,,,,,,,13.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea mays,,plant,plantae,,,,,,,,Zea,mays,,,,,POZA - RICA 7843 - SR,,Zea mays,,,,,benin,,,maize,,,,,"cereals, maïs, poza - rica 7843 - sr, seche, cru, poza - rica 7843 - sr, 1993","Maize, POZA - RICA 7843 - SR, dried, raw [Maïs, POZA - RICA 7843 - SR, seche, cru] cv. POZA - RICA 7843 - SR","MAIZE, POZA - RICA 7843 - SR, DRIED, RAW",8.96,,,1.03,,65.96,,,,,,,13.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea mays,,plant,plantae,,,,,,,,Zea,mays,,,,,TZPB-SR,,Zea mays,,,,,benin,,,maize,,,,,"cereals, maïs, tzpb-sr, seche, cru, tzpb-sr, 1993","Maize, TZPB-SR, dried, raw [Maïs, TZPB-SR, seche, cru] cv. TZPB-SR","MAIZE, TZPB-SR, DRIED, RAW",8.8,,,1.08,,64.83,,,,,,,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium quinoa,,plant,plantae,,,,,,,,Chenopodium,quinoa,,,,,,,Chenopodium quinoa,,,,,"peru, lima",,,quinoa,,,,,cereals,"Quinoa, raw","QUINOA, RAW",11.0,,,3.0,,,,,,,,,12.0,,,,,,,131.0,6.8,,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium quinoa,,plant,plantae,,,,,,,,Chenopodium,quinoa,,,,,,,Chenopodium quinoa,,,,,canada,,,quinoa,,,,,cereals,"Quinoa, flour, raw","QUINOA, FLOUR, RAW",13.5,,58.3,1.2,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,,Banjultunkung,,,,,,,"gambia, west kiang district, keneba",,,rice,,,,,"cereals, banjultunkung","Rice, Banjultunkung, boiled cv. Banjultunkung","RICE, BANJULTUNKUNG, BOILED",,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,,Jibirokoto,,,,,,,"gambia, west kiang district, keneba",,,rice,,,,,"cereals, jibirokoto","Rice, Jibirokoto, boiled cv. Jibirokoto","RICE, JIBIROKOTO, BOILED",,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
