taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,アマランサス 玄穀,,,,,"japanese, cereals and grains, アマランサス 玄穀",アマランサス 玄穀,アマランサス 玄穀,12.7,6.0,64.9,2.9,343.0,,,,,,,,13.5,,,1452.0,,,7.4,160.0,9.4,270.0,540.0,600.0,1.0,5.8,0.92,,6.14,13.0,,,,2.0,,1.3,,,,,,,2.3,0.2,0.7,,,,,,0.04,0.14,1.0,1.69,0.58,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,あわ 精白粒,,,,,"japanese, cereals and grains, あわ 精白粒",あわ 精白粒,あわ 精白粒,11.2,4.4,69.7,1.4,346.0,,,,,,,,13.3,,,1466.0,,,3.3,14.0,4.8,110.0,280.0,300.0,1.0,2.5,0.49,,0.88,2.0,,,,,,0.6,,,,,,,,2.2,,,,,,,0.56,0.07,2.9,1.83,0.18,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,あわ あわもち,,,,,"japanese, cereals and grains, あわ あわもち",あわ あわもち,あわ あわもち,5.1,1.3,45.3,0.3,210.0,,,,,,,,48.0,,,890.0,,,1.5,5.0,0.7,12.0,39.0,62.0,,1.1,0.2,,0.46,1.0,,,,,,0.1,,,,,,,,1.2,,,,,,,0.08,0.01,0.3,0.61,0.03,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,えんばく オートミール,,,,,"japanese, cereals and grains, えんばく オートミール",えんばく オートミール,えんばく オートミール,13.7,5.7,69.1,1.5,350.0,,,,,,,,10.0,,,1479.0,,,9.4,47.0,3.9,100.0,370.0,260.0,3.0,2.1,0.28,,,18.0,,,,,,0.6,,,,,,,0.1,,,,,,,,0.2,0.08,1.1,1.29,0.11,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,おおむぎ 七分つき押麦,,,,,"japanese, cereals and grains, おおむぎ 七分つき押麦",おおむぎ 七分つき押麦,おおむぎ 七分つき押麦,10.9,2.1,72.1,0.9,343.0,,,,,,,,14.0,,,1454.0,,,10.3,23.0,1.3,46.0,180.0,220.0,2.0,1.4,0.32,,0.85,,,,,,,0.2,,,,,,,,0.1,,,,,,,0.22,0.07,3.2,0.43,0.14,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,おおむぎ 押麦 乾,,,,,"japanese, cereals and grains, おおむぎ 押麦 乾",おおむぎ 押麦 乾,おおむぎ 押麦 乾,6.7,1.5,78.3,0.7,329.0,,,,,,,,12.7,,,1395.0,,,12.2,21.0,1.1,40.0,160.0,210.0,2.0,1.1,0.22,,0.86,1.0,,,,,,0.1,,,,,,,,,,,,,,,0.11,0.03,3.4,0.4,0.13,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,おおむぎ 押麦 めし,,,,,"japanese, cereals and grains, おおむぎ 押麦 めし",おおむぎ 押麦 めし,おおむぎ 押麦 めし,2.2,0.5,28.5,0.2,118.0,,,,,,,,68.6,,,500.0,,,4.2,6.0,0.4,10.0,46.0,38.0,,0.4,0.08,,0.24,,,,,,,,,,,,,,,,,,,,,,0.02,,0.8,0.13,0.03,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,おおむぎ 米粒麦,,,,,"japanese, cereals and grains, おおむぎ 米粒麦",おおむぎ 米粒麦,おおむぎ 米粒麦,7.0,2.1,76.2,0.7,333.0,,,,,,,,14.0,,,1407.0,,,8.7,17.0,1.2,25.0,140.0,170.0,2.0,1.2,0.37,,,1.0,,,,,,0.1,,,,,,,,,,,,,,,0.19,0.05,2.3,0.64,0.19,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,おおむぎ 麦こがし,,,,,"japanese, cereals and grains, おおむぎ 麦こがし",おおむぎ 麦こがし,おおむぎ 麦こがし,12.5,5.0,77.1,1.9,368.0,,,,,,,,3.5,,,1553.0,,,15.5,43.0,3.1,130.0,340.0,490.0,2.0,3.8,0.41,,1.81,,,,,,,0.5,,,,,,,0.1,0.2,,,,,,,0.09,0.1,7.6,0.28,0.09,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,キヌア 玄穀,,,,,"japanese, cereals and grains, キヌア 玄穀",キヌア 玄穀,キヌア 玄穀,13.4,3.2,69.0,2.2,344.0,,,,,,,,12.2,,,1455.0,,,6.2,46.0,4.3,180.0,410.0,580.0,35.0,2.8,0.47,,2.45,3.0,,,1.0,11.0,,2.6,,,,1.0,,,0.1,4.0,0.1,,,,,,0.45,0.24,1.2,0.95,0.39,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
