pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,sy_vmag,st_mass,st_rad,st_teff,sy_dist,ra,dec,disc_facility
"HD 114783 b","HD 114783","Radial Velocity",2001,493.70000000000,,349.60000000,1.1600000000,0.144000,,7.5600000,0.853000,,5135.00,21.06280000,198.1818436,-2.2649921,"W. M. Keck Observatory"
"HD 12661 c","HD 12661","Radial Velocity",2002,1708.00000000000,,575.88400000,2.8145000000,0.031000,,7.4300000,1.020000,1.110000,5748.00,37.84780000,31.1423525,25.4135632,"Multiple Observatories"
"HD 27894 c","HD 27894","Radial Velocity",2017,36.07000000000,,51.48846000,0.1980000000,0.015000,,9.3600000,0.800000,,,43.82140000,65.1975693,-59.4096776,"La Silla Observatory"
"TOI-4010 b","TOI-4010","Transit",2023,1.34833500000,3.02000000,11.00000000,0.0229000000,0.030000,1441.00,12.2910000,0.880000,0.830000,4960.00,177.50400000,20.2148196,66.0722009,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 12661 b","HD 12661","Radial Velocity",2000,262.70862000000,,772.32690000,0.8400000000,0.380000,,7.4300000,1.200000,1.200000,5645.00,37.84780000,31.1423525,25.4135632,"Multiple Observatories"
"HD 68988 b","HD 68988","Radial Velocity",2001,6.27711000000,,626.12510000,0.0700000000,0.120000,,8.2000000,1.280000,1.190000,5932.00,60.84470000,124.5935429,61.4608518,"Multiple Observatories"
"HD 24040 b","HD 24040","Radial Velocity",2006,3668.00000000000,,1226.82380000,4.9200000000,0.040000,,7.5150000,1.110000,1.300000,5802.00,46.62240000,57.5962104,17.4752873,"W. M. Keck Observatory"
"TOI-2384 b","TOI-2384","Transit",2024,2.13570304000,11.48920522,624.85064816,0.0279300000,0.000000,889.70,15.1030000,0.635000,0.611300,3943.00,191.51000000,36.1561463,-65.0001957,"Transiting Exoplanet Survey Satellite (TESS)"
"HAT-P-28 b","HAT-P-28","Transit",2011,3.25721500000,13.58500000,198.95300000,0.0434000000,0.051000,1384.00,13.0980000,1.025000,1.103000,5680.00,401.31900000,13.0009159,34.7284020,"HATNet"
"NGTS-10 b","NGTS-10","Transit",2020,0.76689440000,13.50684500,687.14846000,0.0143000000,0.000000,1332.00,14.5060000,0.696000,0.697000,4600.00,,91.8722801,-25.5948963,"Next-Generation Transit Survey (NGTS)"
"HD 156279 c","HD 156279","Radial Velocity",2018,4818.25358000000,,3098.82696825,5.4860000000,0.261000,,8.0700000,0.940000,,,36.19450000,258.0966686,63.3527828,"W. M. Keck Observatory"
"HD 168443 b","HD 168443","Radial Velocity",1998,58.11187000000,,2424.39508860,0.2920000000,0.530000,,6.9212200,0.980000,,,39.62450000,275.0159879,-9.5966905,"W. M. Keck Observatory"
"HD 72659 c","HD 72659","Radial Velocity",2022,35500.00000000000,,6165.87109580,21.5000000000,0.114000,,7.4600000,1.033000,1.360000,5929.00,51.89490000,128.5128072,-1.5686323,"Multiple Observatories"
"HD 72659 b","HD 72659","Radial Velocity",2002,3549.00000000000,,906.12878836,4.6070000000,0.239300,,7.4600000,1.033000,1.360000,5929.00,51.89490000,128.5128072,-1.5686323,"W. M. Keck Observatory"
"HD 24040 c","HD 24040","Radial Velocity",2021,515.40000000000,,63.88350981,1.3000000000,0.110000,,7.5150000,1.103940,1.387296,5776.49,46.62240000,57.5962104,17.4752873,"Multiple Observatories"
