country_code,country_name,data_year,gdp_usd,gdp_per_capita_usd,population,life_expectancy,infant_mortality_per_1k,co2_per_capita_tons,literacy_rate_pct,internet_users_pct,unemployment_pct,inflation_cpi_pct,forest_area_pct,renewable_energy_pct,gini_index,electricity_access_pct,health_expenditure_per_capita_usd
AFG,Afghanistan,2025,17152234636.8715,413.757894705303,42647492,66.035,50.4,,37.2700004577637,17.7089,13.351,-6.60118564073726,1.85278199408184,20,,85.3,59.06770706
ALB,Albania,2025,27046429296.6673,11377.7757431099,2377128,79.602,8.3,,97.6800003051758,83.1356,10.926,2.21587375089999,28.7919708029197,41.9,29.4,100,590.62799072
DZA,Algeria,2025,269322281664.773,5752.99076651465,46814308,76.261,19.7,,75.1399993896484,76.9081,11.633,4.04611455313434,0.830314224054683,0.1,27.6,100,233.37947083
ASM,American Samoa,2024,871000000,18017.4589383973,46765,72.852,,,97.3399963378906,0,,,85.2,0.4,,,
AND,Andorra,2024,4039842405.48117,49303.6491674336,81938,84.041,2.5,,,95.4456,,,34.0425531914894,18.7,,100,3605.19799805
AGO,Angola,2025,100998916781.079,2665.87444776753,37885849,64.617,38.3,,66.2399978637695,44.7581,14.108,28.2404948915772,52.0912696719339,52.9,51.3,51.1,76.07118225
ATG,Antigua and Barbuda,2024,2207622874.07407,23542.4526945578,93772,77.598,7.3,,98.9499969482422,77.5756,,6.19886698842116,18.0134090909091,0.9,,100,841.24884033
ARG,Argentina,2025,638365455340.04,13969.7836603737,45696159,77.395,8.2,,99.1399993896484,89.6672,7.145,219.883929014578,10.3212951412107,9.2,42.4,100,1456.98596191
ARM,Armenia,2025,25955275380.0321,8556.21406956719,3033500,77.4658536585366,8.9,,99.8399963378906,79.9966,12.871,0.269511978259125,11.6183158247114,9.1,27.2,100,766.95874023
ABW,Aruba,2024,4265650673.00236,39498.5941293797,107995,76.353,,,96.8199996948242,97.17,,4.25746204335428,2.33333333333333,8.8,,100,
AUS,Australia,2025,1757022451652.83,64603.9856308464,27196812,83.0512195121951,3.1,,,97.0631,4.09,3.1616142830575,17.4213145571644,12.3,33.8,100,6980.38525391
AUT,Austria,2025,534790720466.822,58268.8787651601,9177982,81.5414634146342,2.6,,,94.9197,5.582,2.93791574279383,47.2402653902084,36,31.2,100,6739.30908203
AZE,Azerbaijan,2025,74315882352.9412,7283.8499076179,10202830,74.429,13.3,,99.7799987792969,89,5.457,2.21217188919901,14.1119540229885,1.3,26.6,100,299.81060791
BHS,"Bahamas, The",2025,15832800000,39455.4466548546,401283,74.552,11.4,,,94.8186,9.207,0.409162489083286,50.9350649350649,1.1,,100,2262.33447266
BHR,Bahrain,2025,47109734308.5106,29653.5682731534,1588670,81.284,7.2,,97.8199996948242,100,1.102,0.919635459817651,0.95,0,,100,1175.81628418
BGD,Bangladesh,2025,450119432068.852,2593.41611680774,173562364,74.672,24.4,,79,44.5027,3.778,10.4657482763412,14.4899215263887,25,30.9,99.5,53.46432495
