iata_code,icao_code,name,city,country_code,continent,latitude,longitude,elevation_ft,type,scheduled_service
AAA,NTGA,Anaa Airport,Anaa,PF,OC,-17.3526,-145.509995,10,medium_airport,yes
AAC,HEAR,El Arish International Airport,El Arish,EG,AF,31.055324,33.827964,118,large_airport,yes
AAE,DABB,Annaba Rabah Bitat Airport,Annaba,DZ,AF,36.826781,7.81334,16,large_airport,yes
AAL,EKYT,Aalborg Airport,Aalborg,DK,EU,57.094763,9.84993,10,large_airport,yes
AAM,FAMD,Malamala Airport,Malamala,ZA,AF,-24.816866,31.544085,1124,medium_airport,no
AAN,OMAL,Al Ain International Airport,Al Ain,AE,AS,24.2617,55.6092,869,large_airport,yes
AAO,SVAN,Anaco Airport,Anaco,VE,SA,9.430225,-64.470726,721,medium_airport,no
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,AS,-0.374478,117.250128,82,medium_airport,yes
AAQ,URKA,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,EU,45.002102,37.347301,174,medium_airport,yes
AAR,EKAH,Aarhus Airport,Aarhus,DK,EU,56.303331,10.618286,82,large_airport,yes
AAT,ZWAT,Altay Xuedu Airport,Altay,CN,AS,47.749886,88.085808,2460,medium_airport,yes
AAV,RPMA,Allah Valley Airport,Surallah,PH,AS,6.367903,124.752431,659,medium_airport,no
AAX,SBAX,Romeu Zema Airport,Araxá,BR,SA,-19.5632,-46.9604,3276,medium_airport,yes
AAY,OYGD,Al Ghaydah International Airport,Al Ghaydah,YE,AS,16.193341,52.174186,134,medium_airport,yes
ABA,UNAA,Abakan International Airport,Abakan,RU,AS,53.740002,91.385002,831,large_airport,yes
ABB,DNAS,Asaba International Airport,Asaba,NG,AF,6.204167,6.665278,305,large_airport,yes
ABC,LEAB,Albacete Airport / Los Llanos Air Base,Albacete,ES,EU,38.948502,-1.86352,2302,medium_airport,no
ABD,OIAA,Abadan Ayatollah Jami International Airport,Abadan,IR,AS,30.367887,48.230075,10,large_airport,yes
ABE,KABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,NA,40.651773,-75.442797,393,medium_airport,yes
ABI,KABI,Abilene Regional Airport,Abilene,US,NA,32.4113006592,-99.68190002440001,1791,medium_airport,yes
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,Abidjan,CI,AF,5.26139,-3.92629,21,large_airport,yes
